subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
bcdm:bcdm_field	bcdm:bcdm_field	skos:exactMatch	dwc:dwc_field	dwc:dwc_field	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:processid	bcdm:processid	skos:exactMatch	dwc:materialSampleID	dwc:materialSampleID	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:sampleid	bcdm:sampleid	skos:exactMatch	dwc:recordNumber	dwc:recordNumber	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:fieldid	bcdm:fieldid	skos:exactMatch	dwc:fieldNumber	dwc:fieldNumber	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:museumid	bcdm:museumid	skos:exactMatch	dwc:catalogNumber	dwc:catalogNumber	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:record_id	bcdm:record_id	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:specimenid	bcdm:specimenid	skos:exactMatch	dwc:occurrenceID	dwc:occurrenceID	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:processid_minted_date	bcdm:processid_minted_date	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:bin_uri	bcdm:bin_uri	skos:exactMatch	dwc:measurementMethod	dwc:measurementMethod	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:bin_created_date	bcdm:bin_created_date	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:collection_code	bcdm:collection_code	skos:exactMatch	dwc:collectionCode	dwc:collectionCode	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
